Record Type	Property	Name Type	Query Type	Search Tag Name	Used For	Semantic?	Force Range Index?	Explanation	JSON Path(s)	Predicate
agent	ActiveStart	Date	datesAsString	agentActiveStartDateStr	Search	Non	N		/json[type = ('Group', 'Person')]/carried_out/timespan/begin_of_the_begin	
agent	ActiveStart	Date	datesAsLong	agentActiveStartDateLong	Search	Non	N		/json[type = ('Group', 'Person')]/carried_out/timespan/_seconds_since_epoch_begin_of_the_begin	
agent	ActiveEnd	Date	datesAsLong	agentActiveEndDateLong	Search	Non	N		/json[type = ('Group', 'Person')]/carried_out/timespan/_seconds_since_epoch_end_of_the_end	
agent	ActivePlace	Id	uri	agentActivePlaceId	RecordLink	Non	N	Retrieve agents by URI of their active place	/json[type = ('Group', 'Person')]/carried_out/took_place_at/id	
agent	ActivePlace	Name	keyword	agentActivePlaceName	Search	Semantic	N	Search for agents by keyword in name of active place		lux:placeOfActivity
agent	BornStart	Date	datesAsString	agentBornStartDateStr	Search	Non	N		/json[type='Person']/born/timespan/begin_of_the_begin ,  /json[type='Group']/formed_by/timespan/begin_of_the_begin	
agent	BornStart	Date	datesAsLong	agentBornStartDateLong	Search	Non	N		/json[type='Person']/born/timespan/_seconds_since_epoch_begin_of_the_begin ,  /json[type='Group']/formed_by/timespan/_seconds_since_epoch_begin_of_the_begin	
agent	BornEnd	Date	datesAsLong	agentBornEndDateLong	Search	Non	N		/json[type='Person']/born/timespan/_seconds_since_epoch_end_of_the_end ,  /json[type='Group']/formed_by/timespan/_seconds_since_epoch_end_of_the_end	
agent	StartPlace	Id	uri	agentStartPlaceId	RecordLink	Non	N		/json[type='Person']/born/took_place_at/id ,  /json[type='Group']/formed_by/took_place_at/id	
agent	StartPlace	Name	keyword	agentStartPlaceName	Search	Semantic	N			lux:placeOfBeginning
agent	DataType	Name	keyword	agentDataTypeName	Search	Non	Y		/indexedProperties[dataType=('Person', 'Group')]/dataType	
agent	DiedStart	Date	datesAsString	agentDiedStartDateStr	Search	Non	N		/json[type='Person']/died/timespan/begin_of_the_begin ,  /json[type='Group']/dissolved_by/timespan/begin_of_the_begin	
agent	DiedStart	Date	datesAsLong	agentDiedStartDateLong	Search	Non	N		/json[type='Person']/died/timespan/_seconds_since_epoch_begin_of_the_begin ,  /json[type='Group']/dissolved_by/timespan/_seconds_since_epoch_begin_of_the_begin	
agent	DiedEnd	Date	datesAsLong	agentDiedEndDateLong	Search	Non	N		/json[type='Person']/died/timespan/_seconds_since_epoch_end_of_the_end ,  /json[type='Group']/dissolved_by/timespan/_seconds_since_epoch_end_of_the_end	
agent	EndPlace	Id	uri	agentEndPlaceId	RecordLink	Non	N		/json[type='Person']/died/took_place_at/id ,  /json[type='Group']/dissolved_by/took_place_at/id	
agent	EndPlace	Name	keyword	agentEndPlaceName	Search	Semantic	N			lux:placeOfEnding
agent	Founder	Id	uri	agentFounderId	Search	Non	N		/json[type='Group']/formed_by/carried_out_by/id	
agent	Founder	Name	keyword	agentFounderName	Search	Semantic	N			lux:agentOfBeginning
agent	Type	Id	uri	agentTypeId	RecordLink	Non	N		/json[type = ('Group', 'Person')]/classified_as/id	
agent	Type	Name	keyword	agentTypeName	Search	Semantic	N	Search all types, (gender, occupation, nationality, ethnicity, etc etc)		lux:agentClassifiedAs
agent	Nationality	Id	uri	agentNationalityId	RecordLink	Non	N		/json[type = ('Group', 'Person')]/classified_as[./classified_as/equivalent/id='http://vocab.getty.edu/aat/300379842']/id	
agent	Nationality	Name	keyword	agentNationalityName	Search	Semantic	N			lux:agentNationality
agent	Occupation	Id	uri	agentOccupationId	RecordLink	Non	N		/json[type = ('Group', 'Person')]/classified_as[./classified_as/equivalent/id='http://vocab.getty.edu/aat/300263369']/id ,  /json[type = ('Group', 'Person')]/classified_as[./classified_as/equivalent/id='http://vocab.getty.edu/aat/300435108']/id	
agent	Occupation	Name	keyword	agentOccupationName	Search	Semantic	N			lux:agentOccupation
agent	Gender	Id	uri	agentGenderId	RecordLink	Non	N		/json[type = ('Group', 'Person')]/classified_as[./classified_as/equivalent/id='http://vocab.getty.edu/aat/300055147']/id	
agent	Gender	Name	keyword	agentGenderName	Search	Semantic	N			lux:agentGender
agent	MemberOf	Id	uri	agentMemberOfId	RecordLink	Non	N	Agents that are members of the group with given URI	/json[type = ('Group', 'Person')]/member_of/id	
agent	MemberOf	Name	keyword	agentMemberOfName	Search	Semantic	N	Agents that are members of the group that matches keywords in name		crm:P107i_is_current_or_former_member_of
agent	HasDigitalImage	Boolean	numbers	agentHasDigitalImageBoolean	Search	Non	N		/indexedProperties[dataType = ('Group', 'Person')]/hasDigitalImage	
agent	ProfessionalActivity	Id	uri	agentProfessionalActivityId	RecordLink	Non	N		/json/carried_out/classified_as[not(./equivalent/id='http://vocab.getty.edu/aat/300393177')]/id	
agent	ProfessionalActivity	Name	keyword	agentProfessionalActivityName	Search	Semantic	N			lux:agentProfessionallyActive
										
item	ArchiveSort	Id	string	itemArchiveSortId	Search	Non	N		/json[type = ('HumanMadeObject', 'DigitalObject')]/identified_by[./classified_as/equivalent/id='http://vocab.getty.edu/aat/300456575']/content	
item	DataType	Name	keyword	itemDataTypeName	Search	Non	Y		/indexedProperties[dataType = ('HumanMadeObject', 'DigitalObject')]/dataType	
item	HasDigitalImage	Boolean	numbers	itemHasDigitalImageBoolean	Search	Non	N		/indexedProperties[dataType = ('HumanMadeObject', 'DigitalObject')]/hasDigitalImage	
item	IsOnline	Boolean	numbers	itemIsOnlineBoolean	Search	Non	N		/indexedProperties[dataType = ('HumanMadeObject', 'DigitalObject')]/isOnline	
item	Any	Text	keyword	itemAnyText	Search	Non	N		/json[type = ('HumanMadeObject', 'DigitalObject')]//content	
item		Name	keyword	itemName	Search	Non	N		/json[type = ('HumanMadeObject', 'DigitalObject')]/identified_by[./type='Name']/content	
item	Primary	Name	keyword	itemPrimaryName	Search	Non	N		/json[type = ('HumanMadeObject', 'DigitalObject')]/identified_by[./classified_as/equivalent/id='http://vocab.getty.edu/aat/300404670']/content	
item		Identifier	string	itemIdentifier	Search	Non	N		/json[type = ('HumanMadeObject', 'DigitalObject')]/identified_by[./type='Identifier']/content ,  /json[type = ('HumanMadeObject', 'DigitalObject')]/equivalent/id	
item	Type	Id	uri	itemTypeId	RecordLink	Non	N		/json[type = ('HumanMadeObject', 'DigitalObject')]/classified_as/id	
item	Type	Name	keyword	itemTypeName	Search	Semantic	N			lux:itemClassifiedAs
item	Material	Id	uri	itemMaterialId	RecordLink	Non	N		/json[type = 'HumanMadeObject']/made_of/id	
item	Material	Name	keyword	itemMaterialName	Search	Semantic	N			crm:P45_consists_of
item	Dimension	Value	numbers	itemDimensionValue	Search	Non	N	Search any dimension for numeric range	/json[type = ('HumanMadeObject', 'DigitalObject')]/dimension/value	
item	HeightDimension	Value	numbers	itemHeightDimensionValue	Search	Non	N	search specifically the height dimension	/json[type = 'HumanMadeObject']/dimension[./classified_as/equivalent/id='http://vocab.getty.edu/aat/300055644']/value	
item	WidthDimension	Value	numbers	itemWidthDimensionValue	Search	Non	N	search specifically the FOO dimension (for all foo that we want)	/json[type = 'HumanMadeObject']/dimension[./classified_as/equivalent/id='http://vocab.getty.edu/aat/300055647']/value	
item	DepthDimension	Value	numbers	itemDepthDimensionValue	Search	Non	N		/json[type = 'HumanMadeObject']/dimension[./classified_as/equivalent/id='http://vocab.getty.edu/aat/300072633']/value	
item	EncounteredStart	Date	datesAsLong	itemEncounteredStartDateLong	Search	Non	N		/json[type = 'HumanMadeObject']/encountered_by/timespan/_seconds_since_epoch_begin_of_the_begin	
item	EncounteredEnd	Date	datesAsLong	itemEncounteredEndDateLong	Search	Non	N		/json[type = 'HumanMadeObject']/encountered_by/timespan/_seconds_since_epoch_end_of_the_end	
item	EncounteredStart	Date	datesAsString	itemEncounteredStartDateStr	Search	Non	N		/json[type = 'HumanMadeObject']/encountered_by/timespan/begin_of_the_begin	
item	ProductionStart	Date	datesAsString	itemProductionStartDateStr	Search	Non	N		/json[type = 'HumanMadeObject']/produced_by/timespan/begin_of_the_begin ,  /json[type = 'DigitalObject']/created_by/timespan/begin_of_the_begin	
item	ProductionStart	Date	datesAsLong	itemProductionStartDateLong	Search	Non	N		/json[type = 'HumanMadeObject']/produced_by/timespan/_seconds_since_epoch_begin_of_the_begin ,  /json[type = 'DigitalObject']/created_by/timespan/_seconds_since_epoch_begin_of_the_begin	
item	ProductionEnd	Date	datesAsLong	itemProductionEndDateLong	Search	Non	N		/json[type = 'HumanMadeObject']/produced_by/timespan/_seconds_since_epoch_end_of_the_end ,  /json[type = 'DigitalObject']/created_by/timespan/_seconds_since_epoch_end_of_the_end	
item	EncounteredPlace	Id	uri	itemEncounteredPlaceId	RecordLink	Non	N		/json[type = 'HumanMadeObject']/encountered_by/took_place_at/id	
item	ProductionPlace	Id	uri	itemProductionPlaceId	RecordLink	Non	N		/json[type = 'HumanMadeObject']/produced_by/took_place_at/id ,  /json[type = 'HumanMadeObject']/produced_by/part/took_place_at/id ,  /json[type = 'DigitalObject']/created_by/took_place_at/id , /json[type = 'DigitalObject']/created_by/part/took_place_at/id	
item	EncounteredPlace	Name	keyword	itemEncounteredPlaceName	Search	Semantic	N			lux:placeOfEncounter
item	ProductionPlace	Name	keyword	itemProductionPlaceName	Search	Semantic	N			lux:placeOfProduction
item	EncounteredAgent	Id	uri	itemEncounteredAgentId	RecordLink	Non	N	Items encountered by agent with given URI	/json[type = 'HumanMadeObject']/encountered_by/carried_out_by/id	
item	ProductionAgent	Id	uri	itemProductionAgentId	RecordLink	Non	N	Items produced by by agent with given URI	/json[type = 'HumanMadeObject']/produced_by/carried_out_by/id ,  /json[type = 'HumanMadeObject']/produced_by/part/carried_out_by/id ,  /json[type = 'DigitalObject']/created_by/carried_out_by/id ,  /json[type = 'DigitalObject']/created_by/part/carried_out_by/id	
item	EncounteredAgent	Name	keyword	itemEncounteredAgentName	Search	Semantic	N	items encountered by agent that matches keywords in name		lux:agentOfEncounter
item	ProductionAgent	Name	keyword	itemProductionAgentName	Search	Semantic	N	items produced by agent that matches keywords in name		lux:agentOfProduction
item	ProductionTechnique	Id	uri	itemProductionTechniqueId	RecordLink	Non	N	Items produced by / encountered using technique with given URI	/json[type = 'HumanMadeObject']/produced_by/technique/id ,  /json[type = 'HumanMadeObject']/produced_by/part/technique/id	
item	ProductionTechnique	Name	keyword	itemProductionTechniqueName	Search	Semantic	N	items produced by / encountered using technique that matches keywords in name		lux:techniqueOfProduction
item	CarriedBy	Id	uri	itemCarriedById	RecordLink	Non	N	Items that carry the text with the given URI	/json[type = 'HumanMadeObject']/carries/id , /json[type = 'DigitalObject']/digitally_carries/id	
item	CarriedBy	Name	keyword	itemCarriedByName	Search	Semantic	N	Search for items by name of carried text		crm:P128_carries
item	ShownBy	Id	uri	itemShownById	RecordLink	Non	N	Items that show the image with the given URI	/json[type = 'HumanMadeObject']/shows/id , /json[type = 'DigitalObject']/digitally_shows/id	
item	ShownBy	Name	keyword	itemShownByName	Search	Semantic	N	Search for items by name of shown image		crm:P65_shows_visual_item
item	MemberOf	Id	uri	itemMemberOfId	RecordLink	Non	N		/json[type = ('HumanMadeObject', 'DigitalObject')]/member_of/id	
item	MemberOf	Name	keyword	itemMemberOfName	Search	Semantic	N			la:member_of
										
	isCollectionItem	Boolean	numbers	isCollectionItemBoolean	Search	Non	N		/indexedProperties[dataType = ('HumanMadeObject', 'DigitalObject', 'VisualItem', 'LinguisticObject')]/isCollectionItem	
										
set	Primary	Name	keyword	setPrimaryName		Non	Y		/json[type = ('Set')]/identified_by[./classified_as/equivalent/id='http://vocab.getty.edu/aat/300404670']/content	
set	Any	Text	keyword	setAnyText	Search	Non	N		/json[type = ('Set')]//content	
set	Type	Id	uri	setTypeId	Search	Non	N		/json[type = ('Set')]/classified_as/id	
set	UsedFor	Id	uri	setUsedForId	RecordLink	Non	N		/json[type = ('Set')]/used_for/id	
set		Identifier	string	setIdentifier	Search	Non	N		/json[type = ('Set')]/identified_by[./type='Identifier']/content ,  /json[type = ('Set')]/equivalent/id	
set	ArchiveSort	Id	string	setArchiveSortId	Search	Non	N		/json[type = 'Set']/identified_by[./classified_as/equivalent/id='http://vocab.getty.edu/aat/300456575']/content	
set	CreationAgent	Name	keyword	setCreationAgentName	Search	Semantic	N			lux:agentOfCreation
set	CreationStart	Date	datesAsString	setCreationStartDateStr	Search	Non	N		/json[type='Set']/created_by/timespan/begin_of_the_begin	
set	CreationStart	Date	datesAsLong	setCreationStartDateLong	Search	Non	N		/json[type='Set']/created_by/timespan/_seconds_since_epoch_begin_of_the_begin	
set	CreationEnd	Date	datesAsLong	setCreationEndDateLong	Search	Non	N		/json[type='Set']/created_by/timespan/_seconds_since_epoch_end_of_the_end	
set	AboutPlace	Id	uri	setAboutPlaceId	RecordLink	Non	N		/json[type='Set']/about[./type = 'Place']/id	
set	AboutAgent	Id	uri	setAboutAgentId	RecordLink	Non	N		/json[type='Set']/about[./type = ('Person', 'Group')]/id	
set	AboutConcept	Id	uri	setAboutConceptId	RecordLink	Non	N		/json[type='Set']/about[./type = ('Type', 'MeasurementUnit', 'Language', 'Currency', 'Material')]/id	
set	AboutWork	Id	uri	setAboutWorkId	RecordLink	Non	N		/json[type='Set']/about[./type = ('LinguisticObject', 'VisualItem')]/id	
set	AboutItem	Id	uri	setAboutItemId	RecordLink	Non	N		/json[type='Set']/about[./type = ('HumanMadeObject', 'DigitalObject')]/id	
set	AboutEvent	Id	uri	setAboutEventId	RecordLink	Non	N		/json[type='Set']/about[./type = ('Activity', 'Period')]/id	
set	AboutSet	Id	uri	setAboutSetId	RecordLink	Non	N		/json[type='Set']/about[./type = 'Set']/id	
set	CreationAgent	Id	uri	setCreationAgentId	RecordLink	Non	N		/json[type='Set']/created_by/carried_out_by/id , /json[type='Set']/created_by/part/carried_out_by/id	
set	CreationPlace	Id	uri	setCreationPlaceId	RecordLink	Non	N		/json[type='Set']/created_by/took_place_at/id	
set	CreationPlace	Name	keyword	setCreationPlaceName	Search	Semantic	N			lux:placeOfCreation
set	HasDigitalImage	Boolean	numbers	setHasDigitalImageBoolean	Search	Non	N		/indexedProperties[dataType = 'Set']/hasDigitalImage	
set	IsOnline	Boolean	numbers	setIsOnlineBoolean	Search	Non	N		/indexedProperties[dataType = 'Set']/isOnline	
set	IsPublicDomain	Boolean	numbers	setIsPublicDomainBoolean	Search	Non	N		/indexedProperties[dataType = 'Set']/isPublicDomain	
set	PartOf	Id	uri	setPartOfId	RecordLink	Non	N	works that are part of some other work, by id of parent	/json[type='Set']/member_of/id	
										
work	ArchiveSort	Id	string	workArchiveSortId	Search	Non	N		/json[type = 'Set']/identified_by[./classified_as/equivalent/id='http://vocab.getty.edu/aat/300456575']/content	
work	DataType	Name	keyword	workDataTypeName	Search	Non	Y		/indexedProperties[dataType = ('VisualItem', 'LinguisticObject')]/dataType ,  /indexedProperties[dataType = 'Set']/dataType	
work	HasDigitalImage	Boolean	numbers	workHasDigitalImageBoolean	Search	Non	N		/indexedProperties[dataType = ('VisualItem', 'LinguisticObject')]/hasDigitalImage ,  /indexedProperties[dataType = 'Set']/hasDigitalImage	
work	IsOnline	Boolean	numbers	workIsOnlineBoolean	Search	Non	N		/indexedProperties[dataType = ('VisualItem', 'LinguisticObject')]/isOnline , /indexedProperties[dataType = 'Set']/isOnline	
work	IsPublicDomain	Boolean	numbers	workIsPublicDomainBoolean	Search	Non	N		/indexedProperties[dataType = ('VisualItem', 'LinguisticObject')]/isPublicDomain	
work	Any	Text	keyword	workAnyText	Search	Non	N		/json[type = ('VisualItem', 'LinguisticObject')]//content ,  /json[type='Set'][./classified_as/equivalent/id='http://vocab.getty.edu/aat/300375748']//content	
work		Name	keyword	workName	Search	Non	N		/json[type = ('VisualItem', 'LinguisticObject')]/identified_by[./type='Name']/content ,  /json[type='Set'][./classified_as/equivalent/id='http://vocab.getty.edu/aat/300375748']/identified_by[./type='Name']/content	
work	Primary	Name	keyword	workPrimaryName	Search	Non	N		/json[type = ('VisualItem', 'LinguisticObject')]/identified_by[./classified_as/equivalent/id='http://vocab.getty.edu/aat/300404670']/content , /json[type='Set'][./classified_as/equivalent/id='http://vocab.getty.edu/aat/300375748']/identified_by[./classified_as/equivalent/id='http://vocab.getty.edu/aat/300404670']/content	
work		Identifier	string	workIdentifier	Search	Non	N		/json[type = ('VisualItem', 'LinguisticObject')]/identified_by[./type='Identifier']/content ,  /json[type = ('VisualItem', 'LinguisticObject')]/equivalent/id , /json[type='Set'][./classified_as/equivalent/id='http://vocab.getty.edu/aat/300375748']/identified_by[./type='Identifier']/content ,  /json[type='Set'][./classified_as/equivalent/id='http://vocab.getty.edu/aat/300375748']/equivalent/id	
work	Type	Id 	uri	workTypeId 	RecordLink	Non	N		/json[type = ('VisualItem', 'LinguisticObject')]/classified_as/id ,  /json[type='Set'][classified_as/equivalent/id='http://vocab.getty.edu/aat/300375748']/classified_as/id	
work	Type	Name	keyword	workTypeName	Search	Semantic	N			lux:workClassifiedAs
work	Language	Id	uri	workLanguageId	RecordLink	Non	N		/json[type = 'LinguisticObject']/language/id	
work	Language	Name	keyword	workLanguageName	Search	Semantic	N			lux:workLanguage
work	Depicts	Name	keyword	workDepictsName	Search	Semantic	N			crm:P138_represents
work	About	Name	keyword	workAboutName	Search	Semantic	N			crm:P129_is_about
work	AboutPlace	Id	uri	workAboutPlaceId	RecordLink	Non	N		/json[type = ('VisualItem', 'LinguisticObject')]/about[./type = 'Place']/id ,  /json[type='Set'][classified_as/equivalent/id='http://vocab.getty.edu/aat/300375748']/about[./type = 'Place']/id ,  /json[type = 'VisualItem']/represents[./type = 'Place']/id	
work	AboutAgent	Id	uri	workAboutAgentId	RecordLink	Non	N		/json[type = ('VisualItem', 'LinguisticObject')]/about[./type = ('Person', 'Group')]/id ,  /json[type='Set'][classified_as/equivalent/id='http://vocab.getty.edu/aat/300375748']/about[./type = ('Person', 'Group')]/id ,  /json[type = 'VisualItem']/represents[./type = ('Person','Group')]/id	
work	AboutConcept	Id	uri	workAboutConceptId	RecordLink	Non	N		/json[type = ('VisualItem', 'LinguisticObject')]/about[./type = ('Type', 'MeasurementUnit', 'Language', 'Currency', 'Material')]/id ,  /json[type='Set'][classified_as/equivalent/id='http://vocab.getty.edu/aat/300375748']/about[./type = ('Type', 'MeasurementUnit', 'Language', 'Currency', 'Material')]/id ,  /json[type = 'VisualItem']/represents[./type = ('Type', 'MeasurementUnit', 'Language', 'Currency', 'Material')]/id	
work	AboutWork	Id	uri	workAboutWorkId	RecordLink	Non	N		/json[type = ('VisualItem', 'LinguisticObject')]/about[./type = ('LinguisticObject', 'VisualItem', 'Set')]/id ,  /json[type='Set'][classified_as/equivalent/id='http://vocab.getty.edu/aat/300375748']/about[./type = ('LinguisticObject', 'VisualItem', 'Set')]/id ,  /json[type = 'VisualItem']/represents[./type = ('LinguisticObject', 'VisualItem', 'Set')]/id	
work	AboutItem	Id	uri	workAboutItemId	RecordLink	Non	N		/json[type = ('VisualItem', 'LinguisticObject')]/about[./type = ('HumanMadeObject', 'DigitalObject')]/id ,  /json[type='Set'][classified_as/equivalent/id='http://vocab.getty.edu/aat/300375748']/about[./type = ('HumanMadeObject', 'DigitalObject')]/id ,  /json[type = 'VisualItem']/represents[./type = ('HumanMadeObject', 'DigitalObject')]/id	
work	AboutEvent	Id	uri	workAboutEventId	RecordLink	Non	N		/json[type = ('VisualItem', 'LinguisticObject')]/about[./type = ('Activity', 'Period')]/id ,  /json[type='Set'][classified_as/equivalent/id='http://vocab.getty.edu/aat/300375748']/about[./type = ('Activity', 'Period')]/id ,  /json[type = 'VisualItem']/represents[./type = ('Activity', 'Period')]/id	
work	AboutSet	Id	uri	workAboutSetId	RecordLink	Non	N		/json[type = ('VisualItem', 'LinguisticObject')]/about[./type = 'Set']/id ,  /json[type = 'VisualItem']/represents[./type = 'Set']/id	
work	PartOf	Id	uri	workPartOfId	RecordLink	Non	N	works that are part of some other work, by id of parent	/json[type = ('VisualItem', 'LinguisticObject')]/part_of/id ,  /json[type='Set'][classified_as/equivalent/id='http://vocab.getty.edu/aat/300375748']/member_of/id	
work	PartOf	Name	keyword	workPartOfName	Search	Semantic	N			crm:P106i_forms_part_of
work	PublicationStart	Date	datesAsString	workPublicationStartDateStr	Search	Non	N		/json[type = ('VisualItem', 'LinguisticObject')]/used_for/timespan/begin_of_the_begin , /json[type='Set'][classified_as/equivalent/id='http://vocab.getty.edu/aat/300375748']/used_for/timespan/begin_of_the_begin	
work	PublicationStart	Date	datesAsLong	workPublicationStartDateLong	Search	Non	N		/json[type = ('VisualItem', 'LinguisticObject')]/used_for/timespan/_seconds_since_epoch_begin_of_the_begin , /json[type='Set'][classified_as/equivalent/id='http://vocab.getty.edu/aat/300375748']/used_for/timespan/_seconds_since_epoch_begin_of_the_begin	
work	PublicationEnd	Date	datesAsLong	workPublicationEndDateLong	Search	Non	N		/json[type = ('VisualItem', 'LinguisticObject')]/used_for/timespan/_seconds_since_epoch_end_of_the_end , /json[type='Set'][classified_as/equivalent/id='http://vocab.getty.edu/aat/300375748']/used_for/timespan/_seconds_since_epoch_end_of_the_end	
work	PublicationPlace	Id	uri	workPublicationPlaceId	RecordLink	Non	N		/json[type = ('VisualItem', 'LinguisticObject')]/used_for/took_place_at/id ,  /json[type='Set'][classified_as/equivalent/id='http://vocab.getty.edu/aat/300375748']/used_for/took_place_at/id	
work	PublicationPlace	Name	keyword	workPublicationPlaceName	Search	Semantic	N			lux:placeOfPublication
work	PublicationAgent	Id	uri	workPublicationAgentId	RecordLink	Non	N		/json[type = ('VisualItem', 'LinguisticObject')]/used_for/carried_out_by/id ,  /json[type='Set'][classified_as/equivalent/id='http://vocab.getty.edu/aat/300375748']/used_for/carried_out_by/id	
work	PublicationAgent	Name	keyword	workPublicationAgentName	Search	Semantic	N			lux:agentOfPublication
work	CreationStart	Date	datesAsString	workCreationStartDateStr	Search	Non	N		/json[type = ('VisualItem', 'LinguisticObject')]/created_by/timespan/begin_of_the_begin ,  /json[type='Set'][classified_as/equivalent/id='http://vocab.getty.edu/aat/300375748']/created_by/timespan/begin_of_the_begin	
work	CreationStart	Date	datesAsLong	workCreationStartDateLong	Search	Non	N		/json[type = ('VisualItem', 'LinguisticObject')]/created_by/timespan/_seconds_since_epoch_begin_of_the_begin ,  /json[type='Set'][classified_as/equivalent/id='http://vocab.getty.edu/aat/300375748']/created_by/timespan/_seconds_since_epoch_begin_of_the_begin	
work	CreationEnd	Date	datesAsLong	workCreationEndDateLong	Search	Non	N		/json[type = ('VisualItem', 'LinguisticObject')]/created_by/timespan/_seconds_since_epoch_end_of_the_end ,  /json[type='Set'][classified_as/equivalent/id='http://vocab.getty.edu/aat/300375748']/created_by/timespan/_seconds_since_epoch_end_of_the_end	
work	CreationPlace	Id	uri	workCreationPlaceId	RecordLink	Non	N		/json[type = ('VisualItem', 'LinguisticObject')]/created_by/took_place_at/id ,  /json[type='Set'][classified_as/equivalent/id='http://vocab.getty.edu/aat/300375748']/created_by/took_place_at/id	
work	CreationPlace	Name	keyword	workCreationPlaceName	Search	Semantic	N			lux:placeOfCreation
work	CreationAgent	Id	uri	workCreationAgentId	RecordLink	Non	N		/json[type = ('VisualItem', 'LinguisticObject')]/created_by/carried_out_by/id ,  /json[type = ('VisualItem', 'LinguisticObject')]/created_by/part/carried_out_by/id ,  /json[type='Set'][classified_as/equivalent/id='http://vocab.getty.edu/aat/300375748']/created_by/carried_out_by/id , /json[type='Set'][classified_as/equivalent/id='http://vocab.getty.edu/aat/300375748']/created_by/part/carried_out_by/id	
work	CreationAgent	Name	keyword	workCreationAgentName	Search	Semantic	N			lux:agentOfCreation
work	MemberOf	Name	keyword	workMemberOfName	Search	Semantic	N	This should probably be merged into workPartOfName like workPartOfId		la:member_of
										
										
										
										
place	HasDigitalImage	Boolean	numbers	placeHasDigitalImageBoolean	Search	Non	N		/indexedProperties[dataType = 'Place']/hasDigitalImage	
place	Any	Text	keyword	placeAnyText		Non	N		/json[type = 'Place']//content	
place		Name	keyword	placeName	Search	Non	Y		/json[type = 'Place']/identified_by[./type='Name']/content	
place	Primary	Name	keyword	placePrimaryName	Search	Non	Y		/json[type = 'Place']/identified_by[./classified_as/equivalent/id='http://vocab.getty.edu/aat/300404670']/content	
place		Identifier	string	placeIdentifier	Search	Non	N		/json[type = 'Place']/identified_by[./type='Identifier']/content ,  /json[type = 'Place']/equivalent/id	
place	Type	Id 	uri	placeTypeId 	RecordLink	Non	N		/json[type = 'Place']/classified_as/id	
place	Type	Name	keyword	placeTypeName	Search	Semantic	N			lux:placeClassifiedAs
place	PartOf	Id	uri	placePartOfId	RecordLink	Non	N		/json[type = 'Place']/part_of/id	
place	PartOf	Name	keyword	placePartOfName	Search	Semantic	N			crm:P89_falls_within
place		Spatial	bounds	placeSpatial	Search	Non	N		/json[type = 'Place']/defined_by	
										
										
concept	HasDigitalImage	Boolean	numbers	conceptHasDigitalImageBoolean	Search	Non	N		/indexedProperties[dataType = ('Type', 'MeasurementUnit', 'Language', 'Currency', 'Material')]/hasDigitalImage	
